1;4;false;
1;20;true;
1;58;false;
matilde;27;false;
1;14;false;
1;3;false;
1;3;false;
1;1;false;
1;0;false;
1;1;false;
1;0;false;
1;0;false;
1;12;true;
1;5;false;
admin;MEDIO;6;false;16/03/2026 19:40
admin;FACIL;15;true;21/03/2026 16:06
admin;CONTRARRELOJ;60;false;21/03/2026 16:06
admin;CONTRARRELOJ;91;true;21/03/2026 16:08
admin;MEDIO;12;false;02/04/2026 15:52
admin;MEDIO;9;false;07/04/2026 22:06
admin;FACIL;11;false;13/04/2026 19:42
admin;FACIL;13;true;13/04/2026 19:42
admin;MEDIO;5;false;12/05/2026 18:59
admin;FACIL;6;true;12/05/2026 18:59
admin;FACIL;9;false;12/05/2026 19:00
admin;DIFICIL;82;false;12/05/2026 19:01
admin;MEDIO;93;true;12/05/2026 20:32
admin;MEDIO;11;false;12/05/2026 20:33
admin;CONTRARRELOJ;0;false;12/05/2026 20:34
admin;MEDIO;6;false;30/05/2026 11:15
admin;MEDIO;41;false;30/05/2026 11:16
admin;MEDIO;55;true;30/05/2026 11:17
admin;FACIL;7;false;31/05/2026 15:00
admin;FACIL;9;true;31/05/2026 15:00
admin;FACIL;12;true;31/05/2026 15:08
antonfaraldo;MEDIO;50;true;31/05/2026 15:58
antonfaraldo;FACIL;11;true;31/05/2026 18:25
antonfaraldo;FACIL;11;false;31/05/2026 18:25
antonfaraldo;FACIL;6;true;31/05/2026 18:25
antonfaraldo;FACIL;6;false;31/05/2026 18:26
antonfaraldo;FACIL;10;true;31/05/2026 18:26
